Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0059,FY2627,CAT05,HSS.21,State specific Health System Interventions,,State specific Health System Interventions services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,59,Active
PRG0060,FY2526,CAT01,RCH.1,Maternal Health,मातृ स्वास्थ्य,Maternal Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,1,Active
PRG0061,FY2526,CAT01,RCH.2,PC-PNDT,पीसी-पीएनडीटी,PC-PNDT services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,2,Active
PRG0062,FY2526,CAT01,RCH.3,Child Health,बाल स्वास्थ्य,Child Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,3,Active
PRG0063,FY2526,CAT01,RCH.4,Immunization,टीकाकरण,Immunization services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,4,Active
PRG0064,FY2526,CAT01,RCH.5,Adolescent Health,किशोर स्वास्थ्य,Adolescent Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,5,Active
PRG0065,FY2526,CAT01,RCH.6,Family Planning,परिवार नियोजन,Family Planning services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,6,Active
PRG0066,FY2526,CAT01,RCH.7,Nutrition,पोषण,Nutrition services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,7,Active
PRG0067,FY2526,CAT01,RCH.8,National Iodine Deficiency Disorders Control Programme (NIDDCP),,National Iodine Deficiency Disorders Control Programme (NIDDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,8,Active
PRG0068,FY2526,CAT02,NDCP.1,Integrated Disease Surveillance Programme (IDSP),,Integrated Disease Surveillance Programme (IDSP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,9,Active
PRG0069,FY2526,CAT02,NDCP.2,National Vector Borne Disease Control Programme (NVBDCP),,National Vector Borne Disease Control Programme (NVBDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,10,Active
PRG0070,FY2526,CAT02,NDCP.3,National Leprosy Eradication Programme (NLEP),,National Leprosy Eradication Programme (NLEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,11,Active
PRG0071,FY2526,CAT02,NDCP.4,National Tuberculosis Elimination Programme (NTEP),,National Tuberculosis Elimination Programme (NTEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,12,Active
PRG0072,FY2526,CAT02,NDCP.5,National Viral Hepatitis Control Programme (NVHCP),,National Viral Hepatitis Control Programme (NVHCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,13,Active
PRG0073,FY2526,CAT02,NDCP.6,National Rabies Control Programme (NRCP),,National Rabies Control Programme (NRCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,14,Active
PRG0074,FY2526,CAT02,NDCP.8,State specific Initiatives and Innovations,,State specific Initiatives and Innovations services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,15,Active
PRG0075,FY2526,CAT03,NCD.1,National Program for Control of Blindness and Vision Impairment (NPCB+VI),,National Program for Control of Blindness and Vision Impairment (NPCB+VI) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,16,Active
PRG0076,FY2526,CAT03,NCD.2,National Mental Health Program (NMHP),,National Mental Health Program (NMHP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,17,Active
PRG0077,FY2526,CAT03,NCD.3,National Programme for Health Care for the Elderly (NPHCE),,National Programme for Health Care for the Elderly (NPHCE) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,18,Active
PRG0078,FY2526,CAT03,NCD.4,National Tobacco Control Programme (NTCP),,National Tobacco Control Programme (NTCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,19,Active
PRG0079,FY2526,CAT03,NCD.5,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS)",,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS) services provided across the six blocks of Sheikhpura district through government health facilities.",District NCD Nodal Officer,20,Active
PRG0080,FY2526,CAT03,NCD.6,Pradhan Mantri National Dialysis Programme (PMNDP),,Pradhan Mantri National Dialysis Programme (PMNDP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,21,Active
PRG0081,FY2526,CAT03,NCD.7,National Program for Climate Change and Human Health (NPCCHH),,National Program for Climate Change and Human Health (NPCCHH) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,22,Active
PRG0082,FY2526,CAT03,NCD.8,National Oral Health Programme (NOHP),,National Oral Health Programme (NOHP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,23,Active
PRG0083,FY2526,CAT03,NCD.10,National Programme for Prevention and Control of Fluorosis (NPPCF),,National Programme for Prevention and Control of Fluorosis (NPPCF) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,24,Active
PRG0084,FY2526,CAT03,NCD.11,National Programme for Prevention and Control of Deafness (NPPCD),,National Programme for Prevention and Control of Deafness (NPPCD) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,25,Active
PRG0085,FY2526,CAT03,NCD.13,State specific Programme Interventions,,State specific Programme Interventions services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,26,Active
PRG0086,FY2526,CAT04,HSS(U).1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,27,Active
PRG0087,FY2526,CAT04,HSS(U).2,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,28,Active
PRG0088,FY2526,CAT04,HSS(U).3,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,29,Active
PRG0089,FY2526,CAT04,HSS(U).4,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,30,Active
PRG0090,FY2526,CAT04,HSS(U).5,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,31,Active
PRG0091,FY2526,CAT04,HSS(U).6,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,32,Active
PRG0092,FY2526,CAT04,HSS(U).7,Access,,Access services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,33,Active
PRG0093,FY2526,CAT04,HSS(U).8,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,34,Active
PRG0094,FY2526,CAT04,HSS(U).9,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,35,Active
PRG0095,FY2526,CAT05,HSS.1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,36,Active
PRG0096,FY2526,CAT05,HSS.2,Blood Services & Disorders,,Blood Services & Disorders services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,37,Active
PRG0097,FY2526,CAT05,HSS.3,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,38,Active
PRG0098,FY2526,CAT05,HSS.4,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,39,Active
PRG0099,FY2526,CAT05,HSS.5,Referral Transport,,Referral Transport services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,40,Active
PRG0100,FY2526,CAT05,HSS.6,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,41,Active
PRG0101,FY2526,CAT05,HSS.7,Other Initiatives to improve access,,Other Initiatives to improve access services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,42,Active
PRG0102,FY2526,CAT05,HSS.8,Inventory management,,Inventory management services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,43,Active
PRG0103,FY2526,CAT05,HSS.9,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,44,Active
PRG0104,FY2526,CAT05,HSS.10,Enhancing HR,,Enhancing HR services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,45,Active
PRG0105,FY2526,CAT05,HSS.11,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,46,Active
PRG0106,FY2526,CAT05,HSS.12,IT interventions and systems,,IT interventions and systems services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,47,Active
PRG0107,FY2526,CAT05,HSS.13,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,48,Active
PRG0108,FY2526,CAT05,HSS.14,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,49,Active
PRG0109,FY2425,CAT01,RCH.1,Maternal Health,मातृ स्वास्थ्य,Maternal Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,1,Active
PRG0110,FY2425,CAT01,RCH.2,PC-PNDT,पीसी-पीएनडीटी,PC-PNDT services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,2,Active
